年,月日,データ種別,事柄,終了年,終了月日,地域,詳細レベル,区分,関連国,補足,キーワード,,,,
-480,,5,ペルシア海軍はシチリア島のヒメラの戦いでも敗れる。,-480,,アジア,1,,ギリシア:ペルシア:中東,,アケメネス朝ペルシア,,,,
-479,7月,5,第４回ペルシア戦争。プラタイアの戦いでポリス連合軍が勝利。,-479,,アジア,1,,ギリシア:ペルシア:中東,,アケメネス朝ペルシア,,,,
-479,,5,孔子没す。,-479,,アジア,1,2,中国,,,,,,
-478,,5,アテネ中心の諸ポリス、デロス同盟結成。,-478,,欧米,1,,ギリシア,,,,,,
-473,,5,越王勾践、呉を滅ぼす。,-473,,アジア,1,,中国,,,,,,
-453,,5,晋が韓・魏・趙に分裂。事実上の戦国時代の始まり。,-453,,アジア,1,,中国,,,,,,
-451,,5,アテネで市民権法制定される。,-451,,欧米,1,,ギリシア,,,,,,
-450,,5,ローマで十二表法制定される。ローマ共和政の形成進む。,-450,,欧米,1,,ローマ,,,,,,
-449,,5,アテネとペルシアの間でカリアスの和約成立。ペルシア戦争終わる。,-449,,アジア,1,,ギリシア:ペルシア:中東,,アケメネス朝ペルシア,,,,
-445,,5,ローマでカヌレイウス法が制定される。,-445,,欧米,1,,ローマ,,,,,,
-443,,5,アテネ、ペリクレス時代。アテネの民主政全盛期となる。,-443,,欧米,1,,ギリシア,,,,,,
-432,,5,フェイディアス、アテネのパルテノンを再建。,-432,,欧米,1,,ギリシア,,,,,,
-431,,5,ペロポネソス戦争始まる。→　ペロポネソス同盟,-404,,欧米,1,,ギリシア,,アテネ、スパルタ,,,,
-429,,5,ペリクレス死去。アテネでデマゴーゴスによる衆愚政治が行われる,-429,,欧米,1,,ギリシア,,,,,,
-425,,5,このころ歴史家ヘロドトス死去（420bcとも）。,-425,,欧米,1,2,ギリシア,,,,,,
-413,,5,アテネ軍のシラクサ遠征、失敗する。,-413,,欧米,1,,ギリシア,,アテネ,,,,
-411,,5,アテネでアリストファネスの「女の平和」初演される。,-411,,欧米,1,2,ギリシア,,,,,,
-404,,5,ペロポネソス戦争、アテネの敗北に終わる。ポリスの衰退始まる。,-404,,欧米,1,,ギリシア,,,,,,
-403,,5,韓・魏・趙が諸侯と認められる。戦国時代の開始。,-403,,アジア,1,,中国,,,,,,
-403,,5,戦国の七雄、富国強兵を競う。韓・魏・趙・斉・燕・楚・秦,-221,,アジア,1,,中国,,,,,,
-401,,5,アテネのクセノフォン、傭兵を率いてペルシアに赴くも、退却。,-401,,アジア,1,,ギリシア:ペルシア:中東,,アケメネス朝ペルシア,,,,ギリシア:ペルシア:中東:
-400,,5,このころ歴史家トゥキディデス死去。,-400,,欧米,1,2,ローマ,,,,,,
-400,,5,中国、戦国時代に諸子百家の活動、最も盛んになる。,-300,,アジア,1,,中国,,,,,,
-400,,5,ローマによるイタリア半島統一戦争が進む。,-300,,欧米,1,,ローマ,,,,,,
-399,,5,ソクラテス、裁判で死刑となる。,-399,,欧米,1,,ギリシア,,,,,,
-395,,5,コリントなどとスパルタとの間でコリント戦争起きる。,-395,,欧米,1,,ギリシア,,,,,,
-387,,5,プラトンがアテネにアカデメイアを開設。,-387,,欧米,1,,ギリシア,,,,,,
-386,,5,アケメネス朝ペルシアが仲介し、大王の和約が成立。,-386,,アジア,1,,ギリシア:ペルシア:中東,,アケメネス朝ペルシア,,,,
-372,,5,孟子が生まれる。,-372,,アジア,1,2,中国,,,,,,
