年,月日,データ種別,事柄,終了年,終了月日,地域,詳細レベル,区分,関連国,補足,キーワード,,,,
1667,,5,1月 ロシア、ポーランドからウクライナ東半分を奪う。,1667,,欧米,2,,露,,,,,,
1667,,5,ミルトン、『失楽園』を著す。,1667,,欧米,1,2,,,,,,,
1667,,5,ルイ１４世がフランドルに侵入、南ネーデルラント戦争始まる。,1667,,欧米,1,,仏,,,,,,
1669,,5,ハンザ同盟の最後の総会。ハンザ、消滅する。,1669,,欧米,1,,,,,,,,
1670,,5,5/20 チャールズ２世とルイ１４世のドーヴァーの密約。,1670,,欧米,2,,英:仏,,,,,,
1670,,5,ロシアでステンカ・ラージンの反乱。,1670,,欧米,1,,露,,,,,,
1672,,5,3~4 第３次英蘭戦争とオランダ侵略戦争が始まる。,1672,,欧米,1,,蘭,,,,,,
1673,,5,呉三桂ら、三藩の乱を起こす。,1673,,アジア,1,,中国,,,,,,
1673,,5,イギリス議会、審査法を制定。,1673,,欧米,2,,英,,,,,,
1673,,5,フランス、ポンディシェリ・シャンデルナゴルを購入。,1673,,欧米,2,,仏,,,,,,
1674,,5,シヴァージー、マラーター王国を樹立。,1674,,アジア,1,,印,,,,,,
1674,,5,関孝和 『発微算法』を著す,1674,,日本,1,2,日本,,,,,,
1677,,5,ビバルディ　　1677ごろ～1741,1677,,欧米,1,2,,,バロック音楽,,,,
1679,,5,5 イギリス議会、人身保護法を制定。,1679,,欧米,2,,英,,,,,,
1679,,5,4 アウラングゼーブ帝、ジズヤを復活させる。,1679,,アジア,2,,印,,,,,,
1680,9月15日,3,綱吉,1709,2月19日,日本,1,,日本,延宝8年（1680年）8月23日 - 宝永6年（1709年）1月10日,,,,,
1681,,5,康煕帝、三藩の乱を鎮定。,1681,,アジア,1,,中国,,,,,,
1682,,10,5/6 ルイ１４世、ヴェルサイユ宮殿で執務開始。,1682,,欧米,1,,仏,,,,,,
1683,,5,8 康煕帝、鄭氏台湾を征服。,1683,,アジア,1,,中国:台湾,,,,,,
1683,,5,7/15 オスマン帝国軍、第２次ウィーン包囲に失敗。,1683,,アジア,1,,土:オスマン帝国,,,,,,
1684,,5,清朝、海禁を解除する。,1684,,アジア,1,,中国,,,,,,
1684,,5,ライプニッツ、微積分法を公表。,1684,,欧米,1,2,,,,,,,
1685,,5,この年、清、広州など４港に海関を置く。,1685,,アジア,2,,中国,,,,,,
1685,,5,10/18 ルイ１４世がナントの王令の廃止に踏み切る。,1685,,欧米,2,,仏,,,,,,
1685,,5,2/6 ジェームズ２世即位。カトリック復活を策す。,1685,,欧米,2,,英,,,,,,
1685,,5,バッハ　　1685～1750,1685,,欧米,1,2,,,バロック音楽,,,,
1686,,5,芭蕉庵の発句会「古池や蛙飛びこむ水の音」,1686,,日本,1,2,日本,,,,,,
1687,,5,ニュートン、『プリンキピア』を発表。,1687,,欧米,1,2,,,,,,,
1687,,20,生類憐み令,1687,,日本,1,,日本,,,,,,
1688,11月5日,5,オランダのオラニエ公ウィレム、イギリス上陸。名誉革命。,1688,,欧米,2,,英:蘭,,,,,,
1688,,5,9/24 ファルツ戦争（アウクスブルク同盟戦争）開始。,1688,,欧米,1,,仏:英:蘭:西:神聖ローマ,,,,,,
1688,,5,井原西鶴「日本永代蔵」,1688,,日本,1,2,日本,,,,,,
1689,,5,5/7 北米で英仏間のウィリアム王戦争。,1689,,欧米,1,,英:仏:米,,,,,,
1689,,5,12/16 権利の章典、寛容法を制定。,1689,,欧米,2,,英,,,,,,
1689,,5,2/13 権利の宣言。メアリ２世・ウィリアム３世が共同統治。,1689,,欧米,2,,英,,,,,,
1689,,5,7 ロシアのピョートル１世と清の康煕帝、ネルチンスク条約を締結。,1689,,欧米,2,,露,,,,,,
1689,,5,芭蕉は『おくのほそ道』の旅に出た,1689,,日本,1,2,日本,元禄2年（1689年）の3月27日 ,,,,,
1690,,5,7/1 ウィリアム３世、アイルランドでジェームズ２世を破る。,1690,,欧米,1,,英,,,,,,
1690,,5,イギリス、カルカッタ、フランスはシャンデルナゴルをベンガル地方に建設。,1690,,欧米,2,,仏:英,,,,,,
1690,,5,ロック、『統治二論』を著す。,1690,,欧米,1,2,,,,,,,
1694,,5,7/27 イングランド銀行設立。,1694,,欧米,1,,英,,,,,,
1697,,5,9/20 ライスワイク条約。,1697,,欧米,1,,仏:英:蘭:西:神聖ローマ,,,,,,
1699,,5,カルロヴィッツ条約を締結。,1699,,欧米,1,,オスマン帝国:墺:洪:伊:波,,,,,,
1700,,5,ピョートル１世、スウェーデンの北方戦争開戦。～１７２０年。,1700,,欧米,1,,露:北欧,,,,,,
1701,,5,1/18 プロイセン公国、プロイセン王国に昇格。,1701,,欧米,2,,独:波:墺,,プロイセン,,,,
1701,,10,スペイン継承戦争が勃発：9月,1701,,欧米,1,,仏:英:西,,,,,,
1702,,5,5/4 北米植民地をめぐる英仏間のアン女王戦争始まる。,1702,,欧米,1,,英:仏:米,,,,,,
1702,,5,芭蕉『おくのほそ道』刊,1702,,日本,1,2,日本,,,,,,
1702,12月14日,10,赤穂浪士の吉良邸討ち入り。,1702,,日本,1,,日本,,,,,,
1703,,5,12 イギリスとポルトガルの間でメシュエン条約締結。,1703,,欧米,1,,英,,,,,,
1703,,5,近松門左衛門「曽根崎心中」竹本座で初演,1703,,日本,1,2,日本,,,,,,
1704,,5,ローマ法王、イエズス会の中国布教法を否定。　→　典礼問題,1704,,欧米,2,,ローマ,,,,,,
1704,,5,浅間山噴火,1704,,日本,1,,日本,,,,,,
1707,,10,英 ：合同法によりグレートブリテン王国成立,1707,,欧米,1,,英,イングランド王国とスコットランド王国が合同し成立,,,,,
1707,,20,富士山 宝永（ほうえい）大噴火,1707,,日本,1,,日本,,,,,,
1709,6月8日,3,家宣,1712,11月12日,日本,1,,日本,宝永6年（1709年）5月1日 - 正徳2年（1712年）10月14日,,,,,
1709,,5,7/9 ポルタヴァの戦い。ピョートル１世、カール１２世のスウェーデン軍を破る。,1709,,欧米,2,,露:瑞,,,,,,
1709,,5,新井白石を登用＜正徳の治＞。生類憐みの令廃止,1709,,日本,1,,日本,,,,,,
1709,,5,ダービー1世がコークス製鉄法を開発,1709,,欧米,1,2,英,,産業革命,,,,
1710,,5,ロココ美術：1710年代から1700年代後半,1710,,欧米,1,2,,,ロココ美術,,,,
1711,,5,康煕帝、盛世滋生人丁制を実施。,1711,,アジア,1,,中国,,,,,,
1712,,5,ピョートル１世、新都のペテルブルクを建設。,1712,,欧米,1,,露:北欧,,,,,,
1713,4月26日,3,家継,1716,6月19日,日本,1,,日本,正徳3年（1713年）4月2日 - 享保元年（1716年）4月30日,,,,,
1713,,5,イギリス、アシエント（奴隷供給権）獲得。,1713,,欧米,2,,英,,,,,,
1713,,5,4/19 オーストリア、プラグマティッシェ・ザンクティオンを定める。,1713,,欧米,2,,墺,,,,,,
1713,,5,貝原益軒『養生訓』,1713,,日本,1,2,日本,,,,,,
1713,,10,スペイン継承戦争・アン女王戦争終結：4/11 ユトレヒト条約締結,1713,,欧米,2,,仏:英:西,,,,,,
1714,,1,ハノーヴァー朝（1714-1917）,1917,,欧米,1,,英,,,,,,
1714,,5,3/7 フランス、オーストリア間のラシュタット条約成立。,1714,,欧米,2,,仏,,,,,,
1714,,10,英 ジョージ１世が即位、ハノーヴァー朝が成立。,1714,,欧米,1,,英,,,,,,
1715,,5,9-1 フランスのルイ１４世が死去。ルイ１５世即位（５歳）。,1715,,欧米,1,,仏,,,,,,
1716,9月28日,3,吉宗,1745,10月20日,日本,1,,日本,享保元年（1716年）8月13日 - 延享2年（1745年）9月25日,,,,,
1716,,5,与謝野蕪村（1716-1783）,1716,,日本,1,2,日本,,,,,,
1719,,5,2月 宣教師ブーヴェら『皇輿全覧図』を献上。,1719,,欧米,2,,,,,,,,
1719,,5,4/25 デフォー、『ロビンソン・クルーソー』を発表。,1719,,欧米,1,2,,,,,,,
1719,,5,伊藤若冲（1716-1800）,1719,,日本,1,2,日本,,美術,,,,
1719,,10,相対済令（11年後に実質廃止）,1719,,日本,1,,日本,,,,,,
1720,,5,主に科学技術の導入を目的にオランダからの本の輸入を解禁,1720,,日本,1,,日本,,,,,,
1721,,5,4/3 ウォルポール内閣発足。責任内閣制始まる。,1721,,欧米,2,,英,,,,,,
1721,,5,8 北方戦争、ニスタットの和約で講和。,1721,,欧米,1,,露:北欧,,,,,,
1722,,5,11 清、康煕帝没。雍正帝即位。,1722,,アジア,1,,中国,,,,,,
1723,,5,12 清、雍正帝、キリスト教布教を禁止（宣教師をマカオに追放）。,1723,,アジア,1,,中国,,宗教,,,,
1723,,5,フランス、ルイ１５世親政開始。,1723,,欧米,1,,仏,,,,,,
1723,,5,フランス、宮廷でロココ美術が流行。,1723,,欧米,1,2,仏,,ロココ美術,,,,
1723,,5,池大雅（1723-1776）,1723,,日本,1,2,日本,,美術,,,,
1725,,5,鈴木 春信 享保10年〈1725年〉？ - 明和7年6月15日〈1770年7月7日〉,1725,,日本,1,2,日本,,美術,,,,
1726,,5,10 スウィフト、『ガリヴァー旅行記』を刊行。,1726,,欧米,1,2,,,,,,,
1727,,5,7 清とロシア、キャフタ条約締結。,1727,,アジア,1,,中国:露,,,,,,
1728,,5,ベーリング、ベーリング海峡を発見。,1728,,欧米,1,2,,,,,,,
1728,,5,平賀源内（1728?-1779）,1728,,日本,1,2,日本,,,,,,
1728,,10,「五公五民制」を導入（幕府創設以来の「四公六民制」の放棄）,1728,,日本,1,,日本,,,,,,
1729,,5,6 清朝で軍機処が設置される。,1729,,アジア,1,,中国,,,,,,
1731,,5,1731年 沈南蘋（しん なんびん）が来日,1731,,日本,1,2,日本,,美術,,,,
1732,,5,ジョージア植民地生まれ、北米にイギリスの１３植民地成立。。,1732,,欧米,1,,英,,,,,,
1732,,5,ハイドン　　1732～1809,1732,,欧米,1,2,,,古典派音楽,,,,
1732,,5,享保の飢饉,1732,,日本,1,,日本,,,,,,
1733,,5,ジョン・ケイが飛び杼（flying shuttle）を発明（織機の発展）,1733,,欧米,2,,英,,産業革命,,,,
1733,,5,ポーランド継承戦争が起きる。,1733,,欧米,1,,波,,,,,,
1733,,5,円山応挙（1733-1795）,1733,,日本,1,2,日本,,美術,,,,
1734,,5,ヴォルテール、『哲学書簡』を刊行。,1734,,欧米,1,2,,,,,,,
1735,,5,8 清、雍正帝没。乾隆帝即位。,1735,,アジア,1,,中国,,,,,,
1735,,5,ダービー二世、コークス製鉄法完成。製鉄業本格化。,1735,,欧米,1,2,英,,,,,,
1735,,5,青木昆陽がサツマイモの性質・栽培法などを記した「蕃薯考(ばんしょこう)」を著す,1735,,日本,1,2,日本,,,,,,
1736,,5,<西アジア>イランにアフシャール朝を建国。,1736,,アジア,1,,中東,ナーディル・シャー、イランにアフシャール朝を建国。,,,,,
1740,,5,12/16 オーストリア継承戦争が始まる。,1740,,欧米,1,,墺,,,,,,
1740,,5,5/31 プロイセン王国のフリードリヒ２世即位。,1740,,欧米,2,,独:波:墺,,プロイセン,,,,
1741,,5,9/11 マリア・テレジア、ハンガリー議会で演説。,1741,,欧米,2,,墺:洪,,,,,,
1744,,5,3 北米植民地でのジョージ王戦争。,1744,,欧米,1,,米,,,,,,
1744,,5,5 インドで第１次カーナティック戦争。,1744,,アジア,1,,印,,,,,,
1745,11月24日,3,家重,1760,6月25日,日本,1,,日本,延享2年（1745年）11月2日 - 宝暦10年（1760年）5月13日,,,,,
1745,,5,フランス、ポンパドゥール夫人、ルイ１５世の公式愛妾となる。,1745,,欧米,1,,仏,,,,,,
1747,,5,ドゥッラーニー朝のアフガン王国が成立。,1747,,アジア,1,,中東,,,,,,
1747,,5,フリードリヒ２世がサンスーシ宮殿完成させる。,1747,,欧米,2,,独:波:墺,,プロイセン,,,,
1747,,5,司馬江漢（しば　こうかん）洋風画家=鈴木春重? 1747-1818,1747,,日本,1,2,日本,,美術,,,,
1748,,5,10/18 アーヘンの和約。シュレジェンをプロイセン王国に割譲。,1748,,欧米,1,,独:波,,,,,,
1748,,5,モンテスキューが『法の精神』を著す。,1748,,欧米,1,2,,,,,,,
1750,,5,ヴォルテール、フリードリヒ２世に招かれる。,1750,,欧米,2,,独:波,,,,,,
1751,,5,フランスのディドロ・ダランベールら『百科全書』刊行開始。（～72）,1751,,欧米,2,2,仏,,,,,,
1751,,5,古典派音楽（1750-1830）,1751,,欧米,1,2,,,古典派音楽,,,,
1751,,5,田沼意次側衆となる（-1786田沼政治）,1751,,日本,1,,日本,,,,,,
1752,,5,ビルマにアラウンパヤーがコンバウン朝を建てる。,1752,,アジア,1,,ミャンマー,,,,,,
1753,,5,喜多川歌麿（1753-1806?,1753,,日本,1,2,日本,,美術,,,,
1754,,5,5 北米でフレンチ・インディアン戦争起こる。,1754,,欧米,1,,米:仏,,,,,,
1755,,5,11/1 リスボンで大地震。,1755,,欧米,1,,西,,,,,,
1755,,5,宝暦飢饉(奥羽地方冷害、餓死者多数),1755,,日本,1,,日本,,,,,,
1756,,5,5/1 フランスとオーストリアの提携成立。外交革命。,1756,,欧米,2,,仏,,,,,,
1756,,5,モーツァルト　　1756～1791,1756,,欧米,1,2,,,古典派音楽,,,,
1756,,10,8/29 七年戦争始まる。,1756,,欧米,1,,独:波:墺:仏:英:露,,,,,,
1757,,5,乾隆帝、外国貿易を広州だけに限定する。,1757,,アジア,1,,中国,,,,,,
1757,,5,6/23 イギリス東インド会社軍、プラッシーの戦いでフランス・ベンガル太守軍を破る。,1757,,欧米,2,,仏:英,,,,,,
1757,,10,伊藤若冲 『動植綵絵』 30幅は宝暦7年頃（1757年）から明和3年（1766年）頃にかけての時期に制作,1757,,日本,1,2,日本,,美術,,,,
1758,,5,乾隆帝、西モンゴルのジュンガルを滅ぼす。,1758,,アジア,1,,モンゴル:中国,,,,,,
1759,,5,乾隆帝、東トルキスタンのウイグル人を押さえ新疆とする。,1759,,アジア,1,,中国,,,,,,
1759,,5,伊藤若冲 『動植綵絵』の内 雪中鴛鴦図,1759,,日本,1,2,日本,,美術,,,,
1760,6月25日,3,家治,1786,9月29日,日本,1,,日本,宝暦10年（1760年）5月13日 - 天明6年（1786年）9月8日,,,,,
1760,,5,この頃からイギリス産業革命本格化する。,1760,,欧米,1,,英,,産業革命,,,,
1762,,5,4/13 ルソー、『社会契約論』発表。,1762,,欧米,1,2,,,,,,,
1762,,5,ロシアのエカチェリーナ２世即位。,1762,,欧米,1,,露,,,,,,
1763,,5,2/10 イギリスとフランス・スペイン間のパリ条約で講和。,1763,,欧米,2,,仏:英:西,,,,,,
1763,,5,2/15 七年戦争、フベルトゥスブルク条約で講和。,1763,,欧米,1,,独:波:墺:仏:英:露,,,,,,
1763,,5,10/7 ジョージ３世の国王の宣言。,1763,,欧米,2,,英,,,,,,
1763,,5,谷 文晁 宝暦13年9月9日（1763年10月15日） - 天保11年12月14日（1841年1月6日）,1763,,日本,1,2,日本,,美術,,,,
1763,,10,小林一茶（こばやし いっさ）宝暦13年5月5日（1763年6月15日） - 文政10年11月19日（1828年1月5日）,1763,,日本,1,2,日本,,,,,,
1764,,5,ハーグリーヴズがジェニー紡績機を発明。,1764,,欧米,1,2,英,,産業革命,,,,
1764,,5,砂糖法にアメリカ植民地が反発。,1764,,欧米,2,,米,,,,,,
1765,,5,3/22 イギリス、印紙法制定。アメリカ植民地が反発。翌年、廃止になる。,1765,,欧米,2,,英,,,,,,
1765,,5,8/12 イギリス東インド会社、ディーワーニー（徴税権）を与えられる。,1765,,欧米,1,,英,,,,,,
1765,,5,5/29 ヴァージニア植民地議会。代表なくして課税なしを決議。,1765,,欧米,2,,英:米,,,,,,
1765,,5,1765年、鈴木春信を中心に「錦絵」が作り出される,1765,,日本,1,2,日本,,美術,,,,
1765,,5,伊藤若冲 『動植綵絵』の内 南天雄鶏図,1765,,日本,1,2,日本,,美術,,,,
1765,,5,鈴木春信「お仙の茶屋」明和2年（1765）頃,1765,,日本,1,2,日本,,美術,,,,
1765,,5,ワットがシリンダーと復水器を分離させるモデル開発。1769に特許取得,1769,,欧米,1,2,英,,産業革命,,,,
1767,,5,4/7 ビルマのコンバウン朝が、タイのアユタヤ朝を滅ぼす。,1767,,アジア,1,,ミャンマー:タイ,,,,,,
1767,,5,ロココ美術 ジャン・オノレ・フラゴナール：ぶらんこ 1767年,1767,,欧米,1,2,,,ロココ美術,,,,
1768,,5,12月タイでタークシンが王位につく。,1768,,アジア,1,,タイ,,,,,,
1768,,5,10/8 エカチェリーナ２世、ロシア・トルコ戦争（第一次）開始。,1768,,欧米,1,,露,,,,,,
1768,,5,5/25 クック、第１回太平洋探検に出発。,1768,,欧米,2,2,,,,,,,
1768,,5,『雨月物語』上田秋成 明和5年（1768年）序、安永5年（1776年）刊。,1776,,日本,1,2,日本,,,,,,
1769,,5,アークライト、水力紡績機を発明。,1769,,欧米,2,,英,,産業革命,,,,
1770,,5,4月 クック、オーストラリアに上陸。,1770,,欧米,2,2,,,,,,,
1770,,5,ベートーベン　　1770～1827,1770,,欧米,1,2,,,古典派音楽,,,,
1770,,10,5月 マリ・アントワネット、フランス皇太子（後のルイ１６世）と結婚。,1770,,欧米,1,,仏,,,,,,
1771,,5,ベトナムで西山の乱（タイソンの乱）始まる。,1771,,アジア,1,,ベトナム,,,,,,
1772,,5,第１回ポーランド分割。,1772,,欧米,1,,波,,,,,,
1772,,5,田沼意次、老中に就任　,1772,,日本,1,,日本,,,,,,
1773,,5,4 イギリス議会、茶法を制定。,1773,,欧米,2,,英,,,,,,
1773,,5,5 イギリス、ベンガル総督を設け直轄支配に。,1773,,欧米,2,,英,,,,,,
1773,,5,12 ボストン茶会事件起きる。,1773,,欧米,2,,英:米,,,,,,
1773,,5,この年、ロシアでプガチョフの反乱起こる。,1773,,欧米,1,,露,,,,,,
1774,,5,7 ロシア・オスマン帝国間のキュチュク・カイナルジャ条約。,1774,,欧米,1,,露:土:オスマン帝国,,,,,,
1774,,5,9/5 フィラデルフィアで大陸会議を開催。,1774,,欧米,2,,英:米,,,,,,
1774,,5,杉田玄白/前野良沢らの「解体新書」が刊行される,1774,,日本,1,2,日本,,科学,,,,
1775,,5,4/19 アメリカ独立戦争始まる。～1781/10,1775,,欧米,1,,米,,,,,,
1775,,5,5/10 第２回大陸会議、ワシントンを総司令官に任命。,1775,,欧米,2,,英:米,,,,,,
1775,,5,恋川春町 黄表紙『金々先生栄花夢』（きんきんせんせいえいがのゆめ）刊行,1774,,日本,1,2,日本,,科学,,,,
1776,,5,1/10 トマス・ペイン、『コモン・センス』を発表。,1776,,欧米,1,2,,,,,,,
1776,,5,3/9 アダム・スミス、『諸国民の富』を刊行。,1776,,欧米,1,2,,,,,,,
1776,,5,<米>7/4 アメリカ独立宣言。,1776,,欧米,1,,米,,,,,,
1776,,5,5/12 フランス、ルイ１６世がテュルゴー財務総監を罷免。,1776,,欧米,2,,仏,,,,,,
1776,,5,平賀源内 長崎で手に入れたエレキテルを修理して復元する,1776,,日本,1,2,日本,,科学,,,,
1776,,5,与謝蕪村 続明烏に「菜の花や月は東に日は西に」,1776,,日本,1,2,日本,安永3年（1774年）3月23日に詠まれたもの,,,,,
1777,,5,11/15 アメリカ大陸会議、連合規約を採択。,1777,,欧米,1,,米,,,,,,
1778,,5,1/18 クック、ハワイ諸島に到達。,1778,,欧米,2,2,,,,,,,
1778,,5,2/6 アメリカ独立戦争に、フランスが参戦。,1778,,欧米,2,,仏,,,,,,
1779,,5,クロンプトン、ミュール紡績機を発明。,1779,,欧米,1,2,英,,産業革命,,,,
1780,,5,11/4 ペルーでインディオのトゥパク・アマルの反乱。,1780,,欧米,2,,南米,,,,,,
1780,,5,7/4 ロシアのエカチェリーナ２世、武装中立同盟提唱。,1780,,欧米,2,,露,,,,,,
1781,,5,ワット、新形蒸気機関発明（遊星歯車機構）,1781,,欧米,1,2,英,,産業革命,,,,
1781,,5,10/19 ヨークタウンの戦いで独立軍勝利。アメリカ独立戦争終わる。,1781,,欧米,2,,米,,,,,,
1781,,5,10/13 オーストリア、ヨーゼフ２世、宗教寛容令・農奴解放令制定。,1781,,欧米,2,,墺,,宗教,,,,
1781,,5,3/1 アメリカ連合規約発効。アメリカ合衆国発足。,1781,,欧米,1,,米,,,,,,
1782,,5,1月 清で『四庫全書』書写終わる。,1782,,アジア,1,,中国,,,,,,
1782,,5,4/6 タイでタークシン王、処刑される。,1782,,アジア,1,,タイ,,,,,,
1782,,5,4月 タイでラーマ１世、ラタナコーシン朝を建てる。,1782,,アジア,1,,タイ,,,,,,
1782,,5,山東京伝  黄表紙「御存商売物」（ごぞんじのしょうばいもの）,1782,,日本,1,2,日本,,,,,,
1783,,5,4 ロシア、エカチェリーナ２世、クリム・ハン国を滅ぼしクリミア半島を併合。,1783,,欧米,2,,露,,,,,,
1783,,5,9/3 パリ条約、アメリカ合衆国の独立承認される。,1783,,欧米,1,,米,,,,,,
1783,,5,モーツァルト「ピアノソナタ第11番」（トルコ行進曲）作曲年：1783年,1783,,欧米,1,2,,,古典派音楽,,,,
1783,,5,天明の大飢饉の始まり,1783,,日本,1,,日本,,,,,,
1783,,5,浅間山大噴火 ,1783,,日本,1,,日本,,,,,,
1784,,5,カートライト、力織機を発明。翌年特許取得。,1784,,欧米,1,2,,,産業革命,,,,
1785,,5,モーツァルト「ピアノ協奏曲第21番」作曲年：1785作曲年：1783年年,1785,,欧米,1,2,,,古典派音楽,,,,
1786,,5,9/26 英仏通商条約締結。,1786,,欧米,2,,英:仏,,,,,,
1786,,5,円山応挙 雪松図屏風 1786（天明6）,1786,,日本,1,2,日本,,美術,,,,
1787,5月31日,3,家斉,1837,5月6日,日本,1,,日本,天明7年（1787年）4月15日 - 天保8年（1837年）4月2日,,,,,
1787,,5,5/25 アメリカで憲法制定会議開催。,1787,,欧米,2,,米,,,,,,
1787,,5,8/13 ロシア・トルコ戦争（第二次）開始。,1787,,欧米,1,,露,,,,,,
1787,,20,松平定信が老中に。寛政の改革始まる。,1787,,日本,1,,日本,,,,,,
1788,,5,1/26 イギリス、オーストラリアを流刑植民地とし入植開始。,1788,,欧米,2,,英,,,,,,
1788,,5,6/21 アメリカ合衆国憲法発効。,1788,,欧米,2,,米,,,,,,
1789,,10,フランス革命始まる。人権宣言。,1789,,欧米,1,,仏,,フランス革命,,,,
1789,,5,1 シェイエス、『第三身分とは何か』を発表。,1789,,欧米,1,2,,,,,,,
1789,,5,10 パリの女性、ヴェルサイユ行進。国王と議会、パリに移る。,1789,,欧米,2,,仏,,,,,,
1789,,5,4/30 ワシントン、初代アメリカ大統領就任。,1789,,欧米,1,,米,,,,,,
1789,,5,5/5 フランス、全国三部会開催。,1789,,欧米,2,,仏,,フランス革命,,,,
1789,,5,6/17 フランス 第三身分代表、国民議会と改称。,1789,,欧米,2,,仏,,フランス革命,,,,
1789,6月20日,5,フランス 球戯場の誓い（テニスコートの誓い）。,1789,,欧米,2,,仏,,フランス革命,,,,
1789,,5,7 フランスの農村に大恐怖が広がる。,1789,,欧米,2,,仏,,,,,,
1789,,5,7/11 ルイ１６世、財務長官ネッケルを罷免。,1789,,欧米,2,,仏,,,,,,
1789,,5,7/14 バスティーユ牢獄襲撃。,1789,,欧米,1,,仏,,フランス革命,,,,
1789,,5,8/26 フランス、人権宣言（ラ・ファイエットが起草）。,1789,,欧米,2,,仏,,フランス革命,,,,
1789,,5,8/4 フランス、封建的特権の廃止を決議。,1789,,欧米,2,,仏,,フランス革命,,,,
1789,,5,棄捐令(きえんれい)：１７８５年以降の借金の利率を下げるように札差に命令,1789,,日本,1,,日本,,,,,,
1790,,5,4/17 フランス、アッシニアを紙幣として流通させる。,1790,,欧米,2,,仏,,,,,,
1790,,5,7/12 フランス、聖職者基本法制定。,1790,,欧米,2,,仏,,フランス革命,,,,
1790,,5,寛政異学の禁：朱子学以外の儒学を禁止した法律,1790,,日本,1,,日本,,,,,,
1791,,5,10/1 フランス、立法議会開会。,1791,,欧米,2,,仏,,フランス革命,,,,
1791,,5,12/15 アメリカ、憲法修正第１条～１０条（権利章典）発効。,1791,,欧米,2,,米,,,,,,
1791,,5,6/14 フランスでル・シャプリエ法で労働者の団結を禁止。,1791,,欧米,2,,仏,,フランス革命,,,,
1791,,5,6/20 ヴァレンヌ逃亡事件。,1791,,欧米,2,,仏,,フランス革命,,,,
1791,,5,7/17 シャン・ド・マルスの虐殺事件起きる。,1791,,欧米,2,,仏,,フランス革命,,,,
1791,,5,8/23 ハイチでトゥーサン・ルヴェルチュールの黒人反乱始まる。,1791,,欧米,2,,南米,,,,,,
1791,,5,8/27 ピルニッツ宣言。,1791,,欧米,2,,仏:墺:独,,フランス革命,,,,
1791,,5,9/ フランス、オランプ・ド・グージュ、『女性の権利宣言』を発表。,1791,,欧米,2,,仏,,フランス革命,,,,
1791,,5,9/3 フランス、１７９１年憲法成立。,1791,,欧米,1,,仏,,フランス革命,,,,
1791,,5,モーツァルト オペラ『魔笛』初演：1791年9月30日,1791,,欧米,1,2,,,古典派音楽,,,,
1792,,5,イギリスでウルストンクラフト、『女性の権利の擁護』発表。（女性解放運動）,1792,,欧米,2,,英,,,,,,
1792,,5,4/20 ジロンド派内閣、対オーストリア開戦。,1792,,欧米,2,,仏:墺:独,,フランス革命,,,,
1792,,5,7/11 フランス議会「祖国は危機にあり」と宣言。,1792,,欧米,2,,仏,,フランス革命,,,,
1792,,5,8/10 ８月１０日事件。サンキュロットがテュイルリー宮殿を占拠。王権停止。,1792,,欧米,2,,仏:墺,,フランス革命,,,,
1792,,5,9/20 ヴァルミーの戦い。フランス軍がプロイセン・オーストリア連合軍を破る。,1792,,欧米,2,,仏,,,,,,
1792,,5,9/21 フランス国民公会開催。王政廃止を決議。,1792,,欧米,2,,仏,,フランス革命,,,,
1792,,5,フランス 義勇兵の中からラ・マルセイエーズ（フランス国家）が生まれる。,1792,,欧米,1,2,仏,,フランス革命,,,,
1792,,5,ロッシーニ　　1792～1868,1792,,欧米,1,2,,,ロマン派音楽,,,,
1792,,5,喜多川歌麿 – 難波屋おきた 　1792-1793頃,1792,,日本,1,2,日本,,美術,,,,
1792,,10,9/22 フランス第一共和政発足。,1792,,欧米,1,,仏,,フランス革命,,,,
1792,,10,大黒屋光太夫と共にロシアのラクスマンが根室に来航,1792,,日本,1,,日本,,,,,,
1793,,5,8 イギリス、清にマカートニーを派遣。乾隆帝に謁見。貿易は認められず。,1793,,アジア,1,,中国,,,,,,
1793,,5,3 ピットが働きかけ、第１回対仏大同盟結成。,1793,,欧米,2,,英:仏,,,,,,
1793,,5,パリ市民蜂起、国民公会からジロンド派の追放。,1793,,欧米,1,,仏,,フランス革命,,,,
1793,,5,1/21 ルイ１６世処刑。,1793,,欧米,2,,仏,,フランス革命,,,,
1793,,5,1/23 第２回ポーランド分割。,1793,,欧米,1,,波,,,,,,
1793,,5,10/16 マリ・アントワネット、処刑される。,1793,,欧米,1,2,,,フランス革命,,,,
1793,,5,2/21 フランスで徴兵制、整備始まる。,1793,,欧米,2,,仏,,フランス革命,,,,
1793,,5,8/12 イギリス、インド・ベンガルなどでザミンダーリー制導入。,1793,,欧米,2,,英,,,,,,
1793,,5,3/10 ヴァンデーの反乱始まる。,1793,,欧米,2,,仏,,フランス革命,,,,
1793,6月24日,5,１７９３年憲法（ジャコバン憲法）制定（実施は延期）。,1793,,欧米,2,,仏,,フランス革命,,,,
1793,,5,7/13 マラー、暗殺される。,1793,,欧米,2,,仏,,フランス革命,,,,
1793,,5,7/17 フランス 封建地代の無償廃止。,1793,,欧米,2,,仏,,フランス革命,,,,
1793,,5,9/17 ジャコバン派による恐怖政治本格化。最高価格令制定。,1793,,欧米,2,,仏,,フランス革命,,,,
1793,,5,ホイットニーの綿繰り機、綿花プランテーションで実用化。,1793,,欧米,2,2,米,,産業革命,,,,
